uniqueID,reportedTime,clearedTime,timeType,siteCode,cellName,count,cell,l_cellDown,l_siteDown
U2K1N:8551:56.3702757855386730,2021-08-20 22:43:34,,off,ES2U1391,ES2U1391A1,6,4,0,0
U2K1N:8551:56.3702757902958471,2021-08-20 22:43:34,,off,ES2U1391,ES2U1391C2,6,5,0,0
U2K2N:8551:56.3730373983298430,2021-08-21 05:30:29,2021-08-21 10:18:43,on,HN2U0344,HN2U0344C2,6,5,1,0
U2K2N:8551:56.3730373720633484,2021-08-21 05:30:29,2021-08-21 10:18:43,on,HN2U0344,HN2U0344B2,6,4,1,0
U2K2N:8551:56.3730373494952116,2021-08-21 05:30:29,2021-08-21 10:18:43,on,HN2U0344,HN2U0344A1,6,1,1,0
U2K2N:8551:56.3730373602081627,2021-08-21 05:30:29,2021-08-21 10:18:43,on,HN2U0344,HN2U0344C1,6,6,1,0
U2K2N:8551:56.3730373687627343,2021-08-21 05:30:29,2021-08-21 10:18:43,on,HN2U0344,HN2U0344B1,6,3,1,0
U2K2N:8551:56.3730373749176531,2021-08-21 05:30:29,2021-08-21 10:18:43,on,HN2U0344,HN2U0344A2,6,2,1,1
U2K1N:8551:56.3742232626378895,2021-08-21 08:59:37,2021-08-21 15:24:18,on,LN2U0510,LN2U0510C2,6,4,1,0
U2K1N:8551:56.3742232522471991,2021-08-21 08:59:37,2021-08-21 15:24:18,on,LN2U0510,LN2U0510B1,6,1,1,0
U2K1N:8551:56.3742232513958920,2021-08-21 08:59:37,2021-08-21 15:24:18,on,LN2U0510,LN2U0510C1,6,3,1,0
U2K1N:8551:56.3742232530171837,2021-08-21 08:59:37,2021-08-21 15:24:18,on,LN2U0510,LN2U0510A1,6,6,1,0
U2K1N:8551:56.3742232632753297,2021-08-21 08:59:37,2021-08-21 15:24:18,on,LN2U0510,LN2U0510B2,6,2,1,0
U2K1N:8551:56.3742232638438391,2021-08-21 08:59:37,2021-08-21 15:24:18,on,LN2U0510,LN2U0510A2,6,5,1,1
